Date_UTC,MLAT,MLT
2018-01-01 03:27:00,65.01,22.51
2018-01-01 07:12:00,67.47,22.27
2018-01-01 08:00:00,70.87,20.79
2018-01-01 08:36:00,70.60,20.87
2018-01-01 09:01:00,67.65,22.18
2018-01-01 12:37:00,65.45,1.85
2018-01-01 22:30:00,75.25,19.92
2018-01-02 14:29:00,70.60,2.88
2018-01-02 18:17:00,71.89,20.41
2018-01-02 18:42:00,73.53,21.25
2018-01-04 11:29:00,70.60,23.73
2018-01-04 22:20:00,68.19,0.40
2018-01-05 04:00:00,72.21,0.10
2018-01-05 08:10:00,69.42,23.74
2018-01-05 11:33:00,70.86,0.28
2018-01-05 21:44:00,68.19,23.80
2018-01-08 13:51:00,65.62,2.27
2018-01-08 14:57:00,70.60,3.26
2018-01-09 01:24:00,69.98,22.72
2018-01-09 03:29:00,72.45,20.93
2018-01-09 10:04:00,70.87,22.68
2018-01-09 10:26:00,70.87,23.05
2018-01-09 14:46:00,70.60,3.08
2018-01-09 18:48:00,71.89,20.85
2018-01-09 19:43:00,71.89,21.73
2018-01-10 08:50:00,70.86,21.49
2018-01-11 02:51:00,72.64,0.50
2018-01-12 09:17:00,69.42,0.72
2018-01-13 05:54:00,72.21,2.11
2018-01-14 00:38:00,63.75,1.71
2018-01-14 01:43:00,67.41,23.12
2018-01-14 02:35:00,66.86,4.14
2018-01-14 04:52:00,65.75,2.80
2018-01-14 06:27:00,77.04,22.48
2018-01-14 14:54:00,41.77,24.00
2018-01-14 23:32:00,67.80,1.33
2018-01-15 00:22:00,66.86,1.77
2018-01-15 07:08:00,70.87,19.77
2018-01-15 07:54:00,69.42,23.38
2018-01-15 10:00:00,73.99,7.72
2018-01-15 23:17:00,70.47,23.53
2018-01-15 23:50:00,70.47,0.07
2018-01-16 09:22:00,70.60,21.45
2018-01-17 09:56:00,70.60,21.99
2018-01-19 05:05:00,72.45,22.58
2018-01-19 06:43:00,71.50,20.37
2018-01-19 20:33:00,66.33,22.24
2018-01-19 23:43:00,67.07,1.28
2018-01-20 04:43:00,67.41,2.32
